[(628, 488), (686, 536), (780, 521), (708, 480)]
[(790, 526), (878, 515), (788, 475), (731, 483)]
[(888, 515), (968, 509), (882, 468), (813, 473)]
[(980, 506), (1050, 499), (955, 462), (911, 472)]
[(553, 652), (678, 637), (746, 715), (592, 715)]
[(406, 668), (538, 655), (585, 715), (418, 715)]
[(239, 673), (388, 667), (405, 714), (248, 715)]
[(232, 505), (236, 555), (350, 550), (331, 502)]
[(353, 499), (427, 495), (464, 542), (356, 547)]
[(442, 497), (521, 489), (561, 540), (463, 544)]
[(537, 495), (579, 541), (679, 535), (616, 485)]
[(491, 455), (570, 453), (609, 482), (524, 489)]
[(416, 462), (486, 459), (514, 488), (432, 493)]
[(443, 401), (501, 397), (520, 418), (457, 421)]
[(521, 398), (568, 394), (591, 412), (530, 418)]
[(585, 399), (633, 392), (653, 412), (599, 415)]
[(639, 392), (689, 385), (718, 406), (667, 411)]
[(705, 387), (741, 408), (799, 403), (750, 374)]
[(318, 424), (382, 422), (358, 397), (300, 402)]
[(292, 426), (234, 423), (231, 397), (297, 399)]
[(724, 444), (686, 444), (725, 480), (789, 468)]
[(908, 468), (936, 458), (860, 421), (805, 432)]
[(1074, 496), (1118, 485), (1035, 446), (968, 460)]
[(726, 645), (836, 629), (935, 710), (772, 714)]
[(957, 714), (1059, 693), (908, 603), (841, 628)]
[(132, 508), (224, 511), (231, 559), (125, 565)]
[(96, 563), (6, 560), (36, 513), (130, 516)]
[(127, 497), (139, 459), (77, 455), (59, 494)]
[(170, 467), (232, 466), (226, 500), (140, 504)]
[(244, 469), (315, 469), (316, 499), (239, 503)]
[(335, 468), (391, 465), (414, 493), (337, 499)]
