[(748, 480), (719, 547), (861, 584), (887, 511)] 1
[(588, 276), (553, 320), (700, 348), (724, 296)] 1
[(511, 263), (674, 292), (694, 245), (528, 221)] 1
[(486, 176), (458, 215), (597, 237), (621, 190)] 1
[(399, 66), (375, 93), (476, 106), (490, 82)] 1
[(381, 40), (362, 62), (452, 77), (462, 51)] 1
[(1084, 342), (1174, 353), (1171, 461), (1079, 443)] 1
[(1005, 283), (1092, 294), (1080, 414), (986, 387)] 1
[(936, 228), (916, 314), (1003, 327), (1010, 242)] 1
[(723, 656), (753, 580), (556, 530), (522, 594)] 1
[(639, 551), (476, 510), (505, 448), (675, 484)] 1
[(584, 459), (422, 420), (450, 375), (615, 407)] 1
[(526, 386), (379, 354), (416, 313), (561, 337)] 1
[(494, 322), (526, 280), (387, 258), (358, 307)] 1
[(458, 260), (480, 227), (343, 205), (317, 247)] 1
[(416, 214), (447, 182), (329, 163), (314, 205)] 1
[(400, 172), (423, 149), (301, 126), (282, 158)] 1
[(881, 182), (943, 193), (915, 302), (832, 273)] 1
[(836, 133), (889, 142), (849, 240), (775, 209)] 1
[(911, 144), (905, 181), (1050, 201), (1047, 161)] 0
[(776, 93), (831, 107), (803, 163), (749, 144)] 1
[(735, 62), (780, 72), (743, 142), (701, 120)] 1
[(696, 33), (744, 47), (709, 96), (665, 79)] 1
[(657, 12), (699, 27), (662, 79), (621, 49)] 0
[(1134, 293), (1129, 327), (1252, 357), (1247, 301)] 1
[(1048, 228), (1049, 272), (1186, 290), (1187, 236)] 1
[(972, 186), (984, 223), (1097, 230), (1081, 182)] 1
[(868, 109), (861, 137), (965, 143), (963, 121)] 1
[(1121, 79), (1181, 89), (1185, 162), (1124, 148)] 1
[(1189, 134), (1199, 187), (1261, 195), (1246, 115)] 1
[(1065, 45), (1115, 52), (1116, 122), (1059, 109)] 1
[(1024, 26), (1055, 32), (1054, 104), (986, 79)] 1
[(955, 11), (945, 48), (996, 59), (1011, 4)] 0
[(664, 393), (638, 449), (774, 480), (793, 412)] 1
[(608, 337), (593, 380), (734, 402), (735, 334)] 1
[(386, 103), (369, 134), (265, 116), (284, 84)] 1
[(282, 50), (361, 65), (349, 97), (248, 85)] 1
[(829, 69), (816, 106), (912, 120), (911, 89)] 0
[(786, 36), (773, 74), (870, 85), (868, 55)] 1
[(740, 19), (729, 48), (804, 53), (804, 22)] 0
[(727, 650), (692, 711), (493, 647), (560, 582)] 0
[(423, 172), (459, 134), (592, 156), (562, 198)] 1
[(424, 100), (395, 128), (493, 147), (504, 112)] 0
